title,score,ratings,maxInstalls,offersIAP,contentRating,adSupported,genre,n_stars_1,n_stars_2,n_stars_3,n_stars_4,n_stars_5,allow Wi-Fi Multicast reception,draw over other apps,directly call phone numbers,view network connections,measure app storage space,reroute outgoing calls,close other apps,access USB storage filesystem,add or modify calendar events and send email to guests without owners' knowledge,read your contacts,disable your screen lock,view Wi-Fi connections,change/intercept network settings and traffic,run at startup,add words to user-defined dictionary,change your audio settings,read Google service configuration,delete all app cache data,precise location (GPS and network-based),read terms you added to the dictionary,full network access,connect and disconnect from Wi-Fi,toggle sync on and off,control Near Field Communication,send SMS messages,send sticky broadcast,make app always run,pair with Bluetooth devices,take pictures and videos,body sensors (like heart rate monitors),change system display settings,record audio,set wallpaper,read sync settings,access extra location provider commands,mock location sources for testing,Google Play license check,read phone status and identity,modify your contacts,expand/collapse status bar,access Bluetooth settings,erase USB storage,change network connectivity,control vibration,create accounts and set passwords,read calendar events plus confidential information,enable app debugging,prevent device from sleeping,read battery statistics,set an alarm,modify system settings,read sensitive log data,control flashlight,modify phone state,add or remove accounts,approximate location (network-based),use/find accounts on the device,read/edit your text messages (SMS or MMS),receive text messages (SMS/MMS),read/write web bookmarks and history,retrieve/reorder running apps,read/write call log,read/modify/delete the contents of your USB storage
Telegram,3.483437,12542527,1569833692,1,Rated for 12+,0,Communication,3881238,502449,621376,745651,6791454,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
Bugatti Chiron Car Wallpapers,3.5,55,100975,0,Rated for 3+,1,Personalization,12,0,12,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO VPN - Secure&Fast,3.5,128,673925,0,Rated for 12+,1,Tools,36,9,9,0,73,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wallpaper 4K HD,3.525,13575,1000407,0,Rated for 12+,1,Entertainment,3490,775,1008,1163,6903,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTA 5 - Craft Theft autos Mcpe,3.5294118,935,643212,0,Rated for 3+,1,Adventure,281,38,25,38,525,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Video Call - Global Call,3.5384614,188,313972,0,Rated for 18+,1,Entertainment,50,0,12,12,100,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Xray Body Scanner Camera Real,3.5384614,1402,877082,0,Rated for 3+,1,Medical,390,88,70,53,780,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Haircut prank, air horn & fart",3.54,13304,41530073,0,Rated for 3+,1,Entertainment,2516,1042,2660,791,6220,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blood Pressure App: Bp Monitor,3.5445545,20059,7025649,1,Rated for 3+,1,Health & Fitness,5899,758,337,2107,10703,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Mehndi Design 2023,3.5454545,46,196482,0,Rated for 3+,1,Beauty,7,7,3,0,23,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Snake Run Race・3D Running Game,3.55,57995,29674237,1,Rated for 3+,1,Arcade,13338,5219,3479,8119,27837,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KakaoTalk : Messenger,3.5621622,3164134,234363761,1,Rated for 12+,1,Communication,871283,135872,169840,307411,1674630,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
EduPloyment,3.58,1671,936105,1,Rated for 3+,0,Business,465,98,49,98,951,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EasyConnect,3.5847456,33990,12437412,0,Rated for 3+,1,Tools,10632,573,573,2579,19574,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Beat Racing:music & beat game,3.5857143,3272,10939889,1,Rated for 3+,1,Music,794,186,327,233,1729,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hyper PA,3.592233,16276,4239406,1,Rated for 12+,1,Role Playing,2518,2211,2211,1719,7574,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
App Cloner Premium & Add-ons,3.6,24307,7577884,1,Rated for 3+,0,Libraries & Demo,7776,232,931,232,15040,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab Land Records and Fard,3.62,168,80468,0,Rated for 3+,1,House & Home,48,4,6,7,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUBG MOBILE,3.6312234,44471980,728855104,1,Rated for 12+,1,Action,13210997,1193052,1339578,1769818,26958482,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Qurbani Animal Transport Games,3.6363637,91,109963,0,Rated for 12+,1,Role Playing,16,12,8,4,49,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mjunoon.tv: Live News, Dramas",3.6386554,6038,2053890,1,Rated for 3+,1,News & Magazines,1407,455,404,404,3361,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Battle Shooting Game 3D,3.6448598,9331,5178543,1,Rated for 16+,1,Adventure,2423,504,424,424,5493,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sim owner detail & Sim On CNIC,3.65,421,332081,0,Rated for 3+,1,Productivity,125,7,11,11,260,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candy House Cleaning,3.66,2588,4125221,0,Rated for 3+,1,Lifestyle,508,231,154,385,1294,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp Car Games: GT Car Stunts,3.6699028,6058,13955425,1,Rated for 12+,1,Role Playing,1230,527,527,463,3292,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recover WA Deleted Messages,3.6756756,12317,2189299,0,Rated for 3+,1,Business,3216,547,547,650,7321,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dawaai - Medicine & Healthcare,3.6810126,12322,1130374,0,Rated for 3+,0,Medical,3410,300,331,1039,7236,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
AI Home Design Interior Decor,3.6875,759,83536,1,Rated for 3+,1,House & Home,156,22,66,111,379,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MIGO Live-Voice and Video Chat,3.6899383,46100,15714056,1,Rated for 12+,1,Social,6905,5482,5577,5103,23002,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
Eid Mubarak Name DP Maker 2023,3.69,602,381923,0,Rated for 3+,1,Events,143,23,47,42,343,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ehsas Program Register Online,3.69,397,203043,0,Rated for 3+,1,Events,102,15,22,11,241,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Call & SMS Blocker - Blacklist,3.6927502,202838,9855976,1,Rated for 3+,1,Communication,47143,13297,9565,17501,115306,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Zindigi,3.700211,14329,4735173,0,Rated for 3+,0,Finance,3720,533,614,907,8550,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
Lucky 2048,3.7029703,2487,1463632,0,Rated for 3+,1,Puzzle,660,122,73,48,1571,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEE5 Tips Watch TV Shows,3.7142856,47,8696,0,Rated for 3+,1,Comics,13,0,0,6,26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gangster Vegas Crime 3D Sim,3.7222223,11805,6470323,1,Rated for 18+,1,Strategy,2502,859,960,429,6976,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Draw Happy Queen : Puzzle Game,3.72549,85050,14284698,1,Rated for 3+,1,Puzzle,4144,4955,33335,10000,32434,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diana and Roma Videos,3.7272727,203,223549,0,Rated for 12+,1,Parenting,46,0,27,18,110,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filters for Pictures - Camera ,3.7291667,3965,1433639,0,Rated for 12+,1,Beauty,991,82,247,330,2312,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kawasaki Ninja ZX10r Wallpaper,3.7297297,388,1114043,0,Rated for 3+,1,Personalization,62,62,10,31,220,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
